Date,Province,Food_Item,price
2018-02-01,Alberta,"Almonds, 200 grams",4.44
2018-02-01,Alberta,"Apple juice, 2 litres",2.72
2018-02-01,Alberta,"Apples, per kilogram",3.87
2018-02-01,Alberta,"Avocado, unit",1.53
2018-02-01,Alberta,"Baby food, 128 millilitres",1.27
2018-02-01,Alberta,"Bacon, 500 grams",6.13
2018-02-01,Alberta,"Bananas, per kilogram",1.75
2018-02-01,Alberta,"Beef rib cuts, per kilogram",21.43
2018-02-01,Alberta,"Beef stewing cuts, per kilogram",13.95
2018-02-01,Alberta,"Beef striploin cuts, per kilogram",23.28
2018-02-01,Alberta,"Beef top sirloin cuts, per kilogram",14.38
2018-02-01,Alberta,"Block cheese, 500 grams",6.09
2018-02-01,Alberta,"Broccoli, unit",2.01
2018-02-01,Alberta,"Brown rice, 900 grams ",4.41
2018-02-01,Alberta,"Butter, 454 grams",4.3
2018-02-01,Alberta,"Cabbage, per kilogram",1.94
2018-02-01,Alberta,"Canned baked beans, 398 millilitres",1.2
2018-02-01,Alberta,"Canned beans and lentils, 540 millilitres",1.19
2018-02-01,Alberta,"Canned corn, 341 millilitres",1.11
2018-02-01,Alberta,"Canned peach, 398 millilitres",2.4
2018-02-01,Alberta,"Canned pear, 398 millilitres",2.28
2018-02-01,Alberta,"Canned salmon, 213 grams",3.28
2018-02-01,Alberta,"Canned soup, 284 millilitres",1.04
2018-02-01,Alberta,"Canned tomatoes, 796 millilitres",1.31
2018-02-01,Alberta,"Canned tuna, 170 grams",1.67
2018-02-01,Alberta,"Canola oil, 3 litres",5.95
2018-02-01,Alberta,"Cantaloupe, unit",2.4
2018-02-01,Alberta,"Carrots, 1.36 kilograms",3.41
2018-02-01,Alberta,"Celery, unit",1.94
2018-02-01,Alberta,"Cereal, 400 grams",3.15
2018-02-01,Alberta,"Chicken breasts, per kilogram",12.58
2018-02-01,Alberta,"Chicken drumsticks, per kilogram",5.69
2018-02-01,Alberta,"Chicken thigh, per kilogram",8.82
2018-02-01,Alberta,"Cookies and sweet biscuits, 300 grams ",2.62
2018-02-01,Alberta,"Crackers and crisp breads, 200 grams ",2.59
2018-02-01,Alberta,"Cream, 1 litre",3.54
2018-02-01,Alberta,"Cucumber, unit",1.96
2018-02-01,Alberta,"Deodorant, 85 grams",4.73
2018-02-01,Alberta,"Dried lentils, 900 grams",3.15
