"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.95","","","","2"
"2018-03","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.74","","","","2"
"2018-04","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.43","","","","2"
"2018-05","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.73","","","","2"
"2018-06","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.68","","","","2"
"2018-07","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.76","","","","2"
"2018-08","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.31","","","","2"
"2018-09","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.29","","","","2"
"2018-10","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","12.45","","","","2"
"2018-11","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","12.14","","","","2"
"2018-12","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.59","","","","2"
"2019-01","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.66","","","","2"
"2019-02","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.68","","","","2"
"2019-03","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.03","","","","2"
"2019-04","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.55","","","","2"
"2019-05","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.84","","","","2"
"2019-06","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.25","","","","2"
"2019-07","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.64","","","","2"
"2019-08","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.27","","","","2"
"2019-09","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.63","","","","2"
"2019-10","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","12.69","","","","2"
"2019-11","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.50","","","","2"
"2019-12","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.04","","","","2"
"2020-01","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.13","","","","2"
"2020-02","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.86","","","","2"
"2020-03","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.20","","","","2"
"2020-04","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.98","","","","2"
"2020-05","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","17.49","","","","2"
"2020-06","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","19.54","","","","2"
"2020-07","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","17.40","","","","2"
"2020-08","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","16.72","","","","2"
"2020-09","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.36","","","","2"
"2020-10","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.42","","","","2"
"2020-11","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.49","","","","2"
"2020-12","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","13.88","","","","2"
"2021-01","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.38","","","","2"
"2021-02","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","14.98","","","","2"
"2021-03","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.09","","","","2"
"2021-04","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.36","","","","2"
"2021-05","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","15.91","","","","2"
"2021-06","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","16.57","","","","2"
"2021-07","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","16.45","","","","2"
"2021-08","Alberta","2016A000248","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447295","9.1","16.86","","","","2"
