"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.78","","","","2"
"2018-03","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.59","","","","2"
"2018-04","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.71","","","","2"
"2018-05","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.17","","","","2"
"2018-06","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.25","","","","2"
"2018-07","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.12","","","","2"
"2018-08","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.37","","","","2"
"2018-09","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.91","","","","2"
"2018-10","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","12.40","","","","2"
"2018-11","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","12.23","","","","2"
"2018-12","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","14.25","","","","2"
"2019-01","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","14.29","","","","2"
"2019-02","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","14.24","","","","2"
"2019-03","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.76","","","","2"
"2019-04","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","13.33","","","","2"
"2019-05","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","14.11","","","","2"
"2019-06","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","14.54","","","","2"
"2019-07","British Columbia","2016A000259","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447335","10.1","14.20","","","","2"
