"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","11.17","","","","2"
"2018-03","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","13.01","","","","2"
"2018-04","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","12.02","","","","2"
"2018-05","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.30","","","","2"
"2018-06","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.66","","","","2"
"2018-07","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","13.79","","","","2"
"2018-08","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.50","","","","2"
"2018-09","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","11.39","","","","2"
"2018-10","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","11.39","","","","2"
"2018-11","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","10.72","","","","2"
"2018-12","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","13.89","","","","2"
"2019-01","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","11.68","","","","2"
"2019-02","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","11.39","","","","2"
"2019-03","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","11.79","","","","2"
"2019-04","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","12.70","","","","2"
"2019-05","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","13.85","","","","2"
"2019-06","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.57","","","","2"
"2019-07","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.14","","","","2"
"2019-08","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.41","","","","2"
"2019-09","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.25","","","","2"
"2019-10","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","11.58","","","","2"
"2019-11","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.28","","","","2"
"2019-12","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.04","","","","2"
"2020-01","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","12.95","","","","2"
"2020-02","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","13.53","","","","2"
"2020-03","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.10","","","","2"
"2020-04","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.57","","","","2"
"2020-05","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","16.63","","","","2"
"2020-06","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","17.92","","","","2"
"2020-07","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","17.25","","","","2"
"2020-08","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","16.11","","","","2"
"2020-09","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.01","","","","2"
"2020-10","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","13.67","","","","2"
"2020-11","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.69","","","","2"
"2020-12","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","13.53","","","","2"
"2021-01","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.73","","","","2"
"2021-02","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.24","","","","2"
"2021-03","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","14.67","","","","2"
"2021-04","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.36","","","","2"
"2021-05","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.10","","","","2"
"2021-06","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.81","","","","2"
"2021-07","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","16.79","","","","2"
"2021-08","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","16.60","","","","2"
"2021-09","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.29","","","","2"
"2021-10","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.73","","","","2"
"2021-11","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","16.11","","","","2"
"2021-12","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","16.13","","","","2"
"2022-01","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.47","","","","2"
"2022-02","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","17.02","","","","2"
"2022-03","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.84","","","","2"
"2022-04","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","18.94","","","","2"
"2022-05","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","18.98","","","","2"
"2022-06","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","19.42","","","","2"
"2022-07","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","18.69","","","","2"
"2022-08","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","19.32","","","","2"
"2022-09","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","15.41","","","","2"
"2022-10","New Brunswick","2016A000213","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447095","4.1","19.19","","","","2"
