"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.73","","","","2"
"2018-03","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","13.36","","","","2"
"2018-04","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","12.42","","","","2"
"2018-05","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","14.01","","","","2"
"2018-06","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","16.21","","","","2"
"2018-07","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","13.10","","","","2"
"2018-08","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","14.82","","","","2"
"2018-09","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.89","","","","2"
"2018-10","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.39","","","","2"
"2018-11","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.43","","","","2"
"2018-12","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","13.98","","","","2"
"2019-01","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.77","","","","2"
"2019-02","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.26","","","","2"
"2019-03","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.72","","","","2"
"2019-04","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","12.66","","","","2"
"2019-05","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","14.45","","","","2"
"2019-06","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","15.70","","","","2"
"2019-07","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","14.21","","","","2"
"2019-08","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","15.74","","","","2"
"2019-09","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","14.46","","","","2"
"2019-10","Newfoundland and Labrador","2016A000210","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159446976","1.1","11.48","","","","2"
