"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","12.08","","","","2"
"2018-03","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.01","","","","2"
"2018-04","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.00","","","","2"
"2018-05","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.11","","","","2"
"2018-06","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.72","","","","2"
"2018-07","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.60","","","","2"
"2018-08","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.63","","","","2"
"2018-09","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.94","","","","2"
"2018-10","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.14","","","","2"
"2018-11","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","12.81","","","","2"
"2018-12","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.08","","","","2"
"2019-01","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.79","","","","2"
"2019-02","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.32","","","","2"
"2019-03","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.52","","","","2"
"2019-04","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.95","","","","2"
"2019-05","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.64","","","","2"
"2019-06","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.92","","","","2"
"2019-07","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.44","","","","2"
"2019-08","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.62","","","","2"
"2019-09","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.54","","","","2"
"2019-10","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","13.85","","","","2"
"2019-11","Ontario","2016A000235","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447175","6.1","14.47","","","","2"
