"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.10","","","","2"
"2018-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.69","","","","2"
"2018-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.93","","","","2"
"2018-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.65","","","","2"
"2018-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.16","","","","2"
"2018-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.98","","","","2"
"2018-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.14","","","","2"
"2018-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","10.95","","","","2"
"2018-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.32","","","","2"
"2018-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.03","","","","2"
"2018-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.23","","","","2"
"2019-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.13","","","","2"
"2019-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.32","","","","2"
"2019-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.85","","","","2"
"2019-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.08","","","","2"
"2019-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.63","","","","2"
"2019-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.97","","","","2"
"2019-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.38","","","","2"
"2019-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.93","","","","2"
"2019-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.19","","","","2"
"2019-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.34","","","","2"
"2019-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.18","","","","2"
"2019-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.69","","","","2"
"2020-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.81","","","","2"
"2020-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.19","","","","2"
"2020-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.79","","","","2"
"2020-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.38","","","","2"
"2020-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.44","","","","2"
"2020-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","17.24","","","","2"
"2020-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.68","","","","2"
"2020-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.38","","","","2"
"2020-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.24","","","","2"
"2020-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.04","","","","2"
"2020-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.99","","","","2"
"2020-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.47","","","","2"
"2021-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.61","","","","2"
"2021-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.18","","","","2"
"2021-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.60","","","","2"
"2021-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.29","","","","2"
"2021-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.85","","","","2"
"2021-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.50","","","","2"
"2021-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.28","","","","2"
"2021-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.05","","","","2"
"2021-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.79","","","","2"
"2021-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.78","","","","2"
"2021-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.95","","","","2"
"2021-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.74","","","","2"
"2022-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.15","","","","2"
"2022-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.90","","","","2"
"2022-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.62","","","","2"
"2022-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","18.06","","","","2"
"2022-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","17.86","","","","2"
"2022-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","18.21","","","","2"
"2022-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","17.77","","","","2"
"2022-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","17.75","","","","2"
"2022-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.40","","","","2"
"2022-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","19.01","","","","2"
"2022-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.99","","","","2"
"2022-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.36","","","","2"
"2023-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.97","","","","2"
"2023-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.00","","","","2"
"2018-02","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","18.20","","","","2"
"2018-03","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","28.57","","","","2"
"2018-04","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","16.71","","","","2"
"2018-05","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","16.41","","","","2"
"2018-06","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","19.35","","","","2"
"2018-07","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","24.94","","","","2"
