"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","13.62","","","","2"
"2018-03","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","13.74","","","","2"
"2018-04","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","13.88","","","","2"
"2018-05","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","12.92","","","","2"
"2018-06","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","12.68","","","","2"
"2018-07","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","13.03","","","","2"
"2018-08","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","13.52","","","","2"
"2018-09","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","14.06","","","","2"
"2018-10","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","12.42","","","","2"
"2018-11","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","12.27","","","","2"
"2018-12","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","14.09","","","","2"
"2019-01","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","14.47","","","","2"
"2019-02","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","14.41","","","","2"
"2019-03","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","13.43","","","","2"
"2019-04","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","12.99","","","","2"
"2019-05","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","14.07","","","","2"
"2019-06","Saskatchewan","2016A000247","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447255","8.1","14.44","","","","2"
